Machine_ID,Machine_Type,Processing_Time_Min,Waiting_Time_Min,Downtime_Min,Throughput_Units,Worker_Count,Machine_Utilization_Percent,Defect_Rate_Percent,Energy_Consumption_kWh,Bottleneck_Score,Factory_Health_Score
L47205,L,52.11,11.66,7.65,87.22,6,96.94,1.95,83.82,23.38,83.65
L47206,L,57.24,15.75,7.75,67.72,7,96.9,2.0,108.24,30.77,79.84
H29441,H,52.95,12.31,12.85,84.4,3,94.86,2.05,85.42,24.67,82.27
L47208,L,58.52,17.61,7.1,63.14,5,97.16,2.19,117.18,34.34,77.74
L47209,L,54.88,14.24,13.2,77.53,2,94.72,2.24,94.06,28.38,80.01
M14890,M,60.09,18.93,11.3,57.48,2,95.48,2.29,123.18,36.85,75.86
L47211,L,53.5,13.5,7.45,83.15,7,97.02,2.37,86.96,27.21,80.91
L47212,L,59.08,19.36,6.55,61.27,6,97.38,2.43,124.98,37.78,75.6
L47213,L,55.56,15.57,13.65,75.47,3,94.54,2.48,98.3,31.05,78.15
M14894,M,57.16,16.28,9.75,69.81,5,96.1,2.53,100.58,32.39,77.76
M14895,M,58.81,19.99,10.9,62.6,6,95.64,2.61,126.24,39.15,74.11
M14896,M,57.02,17.26,6.05,70.42,3,97.58,2.69,105.02,34.35,76.83
L47217,L,59.18,18.12,14.2,62.89,7,94.32,2.77,107.18,36.0,75.03
H29452,H,60.11,21.16,6.3,58.37,2,97.48,2.83,128.98,41.51,72.96
L47219,L,60.68,22.01,12.55,56.5,3,94.98,2.96,132.0,43.2,71.22
L47220,L,60.57,20.39,14.65,57.9,6,94.14,3.01,118.04,40.38,72.32
L47221,L,60.54,21.9,8.75,57.45,2,96.5,3.07,128.96,43.15,71.42
M14902,M,60.6,21.64,13.85,57.58,5,94.46,3.12,125.56,42.74,71.0
H29457,H,60.63,21.72,15.0,57.74,3,94.0,3.2,124.44,43.01,70.6
M14904,M,59.33,21.88,15.25,62.66,3,93.9,3.33,124.44,43.45,70.09
L47225,L,59.17,22.52,12.4,63.19,4,95.04,3.41,127.98,44.69,69.59
M14906,M,54.08,16.85,6.5,83.72,5,97.4,3.47,88.46,34.61,75.11
L47227,L,60.35,22.22,11.65,59.79,3,95.34,3.55,120.96,44.33,69.58
H29462,H,60.31,24.28,13.75,59.11,4,94.5,3.6,136.3,48.09,67.38
M14909,M,60.65,22.22,13.0,59.49,3,94.8,3.73,116.44,44.58,68.94
L47230,L,39.65,27.59,46.15,129.26,4,81.54,6.81,66.42,49.72,56.9
L47231,L,61.22,25.32,8.25,56.49,2,96.7,3.87,137.46,50.31,66.29
H29466,H,59.62,22.71,12.35,63.49,6,95.06,3.92,117.54,45.69,68.08
L47233,L,58.78,20.94,11.6,67.78,3,95.36,4.05,101.5,42.68,69.4
L47234,L,57.01,19.84,12.7,74.63,2,94.92,4.11,94.02,40.79,70.12
L47235,L,59.67,22.66,15.8,64.27,4,93.68,4.16,111.64,45.9,67.15
L47236,L,60.24,23.24,12.9,62.23,6,94.84,4.21,114.34,47.01,66.78
L47237,L,59.78,22.88,13.0,64.21,7,94.8,4.27,110.86,46.43,66.95
M14918,M,57.69,20.34,12.1,72.88,4,95.16,4.32,92.22,41.94,69.18
L47239,L,61.89,26.8,11.25,55.5,3,95.5,4.4,136.36,53.63,63.26
L47240,L,61.74,26.51,8.35,56.4,7,96.66,4.45,133.06,53.18,63.67
M14921,M,58.9,23.07,8.45,68.06,7,96.62,4.51,108.24,47.08,66.6
L47242,L,55.54,19.48,8.6,81.71,6,96.56,4.59,82.38,40.76,69.59
M14923,M,55.85,20.4,10.7,80.4,2,95.72,4.64,88.04,42.45,68.42
L47244,L,60.14,23.81,11.85,64.24,3,95.26,4.72,107.66,48.68,65.04
L47245,L,62.08,25.6,10.95,56.9,2,95.62,4.77,118.08,51.94,63.39
M14926,M,57.99,21.66,14.05,73.12,7,94.38,4.83,90.98,44.95,66.47
H29481,H,61.18,25.74,15.2,60.43,5,93.92,4.91,117.52,52.38,62.48
L47248,L,60.45,23.22,17.45,64.74,3,93.02,5.04,95.34,48.03,64.16
L47249,L,62.21,46.7,47.55,47.15,6,80.98,8.09,159.6,85.61,36.26
M14930,M,54.79,21.09,16.65,85.66,7,93.34,5.15,83.68,44.34,65.87
L47251,L,61.75,27.06,14.8,59.07,5,94.08,5.23,120.04,55.14,60.5
L47252,L,63.02,26.94,13.9,54.98,2,94.44,5.28,116.18,55.0,60.55
L47253,L,59.83,24.75,16.0,67.22,6,93.6,5.33,101.84,51.14,62.16
L47254,L,59.76,24.24,12.1,67.93,6,95.16,5.39,96.62,50.29,62.87
L47255,L,63.05,28.0,12.2,54.95,2,95.12,5.44,120.98,57.09,59.35
L47256,L,61.92,28.46,17.3,58.82,7,93.08,5.49,125.02,57.99,58.29
L47257,L,62.06,41.96,40.4,51.77,5,83.84,8.55,111.7,77.69,40.02
L47258,L,56.65,12.88,2.0,63.46,7,99.2,0.0,130.96,23.08,88.26
L47259,L,56.65,9.64,4.1,65.28,6,98.36,0.05,103.84,17.34,90.81
H29494,H,56.09,12.8,8.2,65.85,4,96.72,0.11,128.7,23.07,87.43
L47261,L,56.17,12.6,0.45,66.2,6,99.82,0.24,124.0,22.88,88.03
L47262,L,56.18,11.08,6.55,67.11,4,97.38,0.29,110.66,20.23,88.64
L47263,L,56.01,11.07,5.65,67.92,6,97.74,0.35,109.58,20.27,88.6
L47264,L,56.75,13.1,3.75,64.55,2,98.5,0.4,123.64,23.99,86.83
M14945,M,51.26,8.06,2.85,86.17,7,98.86,0.45,89.68,15.02,91.3
H29500,H,56.7,12.58,7.0,65.51,5,97.2,0.53,116.52,23.22,86.62
L47267,L,55.28,9.95,6.25,72.23,4,97.5,0.67,94.48,18.68,88.7
M14948,M,57.16,13.46,9.35,64.22,4,96.26,0.72,118.78,25.04,85.1
M14949,M,56.26,12.28,1.5,68.21,3,99.4,0.8,108.74,23.02,86.74
L47270,L,52.48,9.09,4.65,83.1,5,98.14,0.88,86.66,17.41,89.07
L47271,L,51.42,9.02,8.75,86.99,4,96.5,0.93,86.4,17.36,88.58
M14952,M,52.98,9.74,8.85,81.48,6,96.46,0.99,88.74,18.7,87.79
L47273,L,57.1,13.95,4.0,65.53,4,98.4,1.07,115.0,26.36,84.29
L47274,L,54.65,11.34,8.1,75.43,2,96.76,1.12,96.24,21.74,86.08
M14955,M,58.66,16.57,7.2,59.26,4,97.12,1.17,131.42,31.19,81.34
M14956,M,55.49,12.58,4.35,72.46,4,98.26,1.25,102.1,24.15,84.98
M14957,M,53.03,11.48,9.5,81.76,2,96.2,1.33,94.8,22.26,85.25
L47278,L,56.34,12.42,11.65,70.24,4,95.34,1.41,95.98,24.05,83.98
L47279,L,56.48,15.5,2.75,68.4,6,98.9,1.47,119.26,29.65,81.97
L47280,L,51.76,10.81,7.85,87.2,2,96.86,1.52,87.04,21.31,85.52
L47281,L,49.79,9.9,7.95,94.6,5,96.82,1.57,81.22,19.74,86.19
L47282,L,56.2,15.03,6.05,70.24,7,97.58,1.63,112.3,29.01,81.64
M14963,M,57.92,15.16,9.15,64.47,6,96.34,1.68,109.82,29.32,81.07
L47284,L,57.88,16.13,12.3,64.44,6,95.08,1.76,115.8,31.15,79.68
L47285,L,55.88,13.22,7.4,72.94,2,97.04,1.81,94.02,25.99,82.64
L47286,L,58.07,17.73,11.5,63.39,3,95.4,1.87,125.9,34.14,78.05
M14967,M,57.37,17.46,7.6,66.12,3,96.96,1.92,123.54,33.74,78.53
H29522,H,55.66,14.18,3.75,73.96,4,98.5,2.0,97.82,27.95,81.65
L47289,L,56.52,14.92,9.0,71.14,7,96.4,2.13,99.64,29.46,80.1
L47290,L,52.22,12.18,10.1,87.51,5,95.96,2.19,82.44,24.62,82.31
H29525,H,57.7,17.6,4.2,66.15,3,98.32,2.24,116.98,34.38,77.91
M14972,M,57.87,17.0,6.45,66.4,3,97.42,2.37,108.96,33.48,77.87
M14973,M,58.13,17.84,13.6,65.38,7,94.56,2.45,113.52,35.09,76.19
L47294,L,55.4,14.95,13.75,76.53,2,94.5,2.53,92.4,30.02,78.55
L47295,L,59.08,19.19,11.85,61.96,7,95.26,2.59,120.02,37.68,74.8
L47296,L,57.21,16.44,10.95,69.98,4,95.62,2.64,99.48,32.83,77.21
L47297,L,56.76,16.33,9.05,71.78,5,96.38,2.69,97.98,32.69,77.36
M14978,M,55.25,15.26,10.15,77.72,4,95.94,2.75,90.34,30.85,78.07
L47299,L,58.83,18.66,6.3,64.02,2,97.48,2.83,110.74,37.03,75.2
L47300,L,59.38,19.82,7.4,61.74,4,97.04,2.88,118.06,39.18,73.91
L47301,L,57.62,19.1,10.5,68.35,5,95.8,2.93,113.56,37.96,74.1
L47302,L,61.29,21.64,8.6,54.68,3,96.56,2.99,127.6,42.58,71.88
L47303,L,57.92,19.97,12.7,67.32,2,94.92,3.04,117.72,39.66,72.82
L47304,L,55.35,16.63,9.8,78.04,4,96.08,3.09,93.34,33.74,75.96
L47305,L,57.84,17.49,6.9,69.26,4,97.24,3.15,95.6,35.35,75.34
L47306,L,61.26,24.72,13.0,54.09,7,94.8,3.2,147.58,48.38,68.11
L47307,L,60.09,21.38,13.1,59.96,3,94.76,3.25,121.26,42.47,70.95
L47308,L,57.62,19.57,10.2,69.56,4,95.92,3.31,108.94,39.28,72.73
L47309,L,58.09,18.66,6.3,68.62,7,97.48,3.36,99.78,37.71,73.8
L47310,L,59.4,20.52,15.4,63.39,6,93.84,3.41,111.66,41.11,71.08
L47311,L,55.62,17.32,11.5,78.19,7,95.4,3.47,90.14,35.46,74.19
M14992,M,59.99,21.36,8.6,61.37,2,96.56,3.52,115.22,42.76,70.72
M14993,M,60.24,23.2,15.75,59.9,2,93.7,3.6,127.8,46.16,68.14
L47314,L,61.22,24.29,11.9,56.31,4,95.24,3.68,133.38,48.22,67.34
M14995,M,56.3,18.33,11.0,76.39,7,95.6,3.73,91.22,37.59,72.64
H29550,H,60.62,22.86,7.15,59.57,4,97.14,3.81,119.8,45.83,68.74
L47317,L,62.56,25.66,16.4,52.02,7,93.44,3.95,136.54,51.02,64.96
H29552,H,60.41,24.35,12.5,60.28,4,95.0,4.0,127.78,48.73,66.39
L47319,L,63.19,26.35,7.75,50.22,6,96.9,4.13,136.96,52.48,64.72
L47320,L,59.72,21.58,13.85,64.76,5,94.46,4.19,102.42,44.01,68.24
L47321,L,59.3,21.52,14.95,66.44,6,94.02,4.24,101.28,43.96,68.04
M15002,M,55.95,19.93,15.05,78.94,5,93.98,4.29,91.96,41.18,69.32
H29557,H,61.44,25.74,13.2,57.48,7,94.72,4.37,129.14,51.7,64.08
M15004,M,61.82,24.12,17.45,57.49,7,93.02,4.51,112.62,48.96,64.76
L47325,L,60.14,22.16,9.6,64.57,3,96.16,4.59,97.46,45.55,67.09
H29560,H,58.76,22.94,9.7,69.13,7,96.12,4.64,104.44,47.03,66.24
L47327,L,60.32,24.34,12.95,63.58,4,94.82,4.77,110.5,49.7,64.31
M15008,M,62.36,26.48,10.05,55.71,3,95.98,4.83,123.58,53.6,62.54
L47329,L,61.08,24.7,9.2,61.3,7,96.32,4.91,109.26,50.5,64.02
L47330,L,61.88,25.56,9.3,58.32,3,96.28,4.96,113.84,52.11,63.09
M15011,M,61.35,24.44,14.4,60.93,4,94.24,5.01,104.46,50.18,63.44
M15012,M,59.68,25.53,10.55,66.44,5,95.78,5.09,113.68,52.23,62.64
L47333,L,55.9,22.27,13.7,81.36,3,94.52,5.17,91.0,46.49,65.04
L47334,L,60.64,24.73,16.8,64.04,4,93.28,5.23,102.96,50.97,62.38
H29569,H,54.02,20.79,16.9,88.96,4,93.24,5.28,79.34,43.98,65.76
M15016,M,61.33,27.74,15.15,60.88,5,93.94,5.41,121.9,56.6,59.36
H29571,H,61.67,27.36,11.3,60.22,7,95.48,5.49,116.56,56.01,59.88
M15018,M,61.51,26.88,12.55,61.51,4,94.98,5.63,109.98,55.33,59.83
L47339,L,62.01,28.87,10.7,59.11,2,95.72,5.71,123.42,59.0,58.02
L47340,L,64.82,47.46,44.8,40.37,7,82.08,8.76,147.04,87.8,34.1
L47341,L,62.99,45.52,45.9,47.84,6,81.64,8.81,132.84,84.39,35.59
L47342,L,53.92,8.88,1.0,74.86,2,99.6,0.0,102.72,15.91,91.95
M15023,M,55.69,11.11,4.1,67.84,7,98.36,0.05,116.96,19.98,89.49
M15024,M,56.19,11.3,9.25,66.35,5,96.3,0.13,116.0,20.42,88.6
L47345,L,52.02,7.14,8.4,83.08,7,96.64,0.21,86.66,13.07,92.2
H29580,H,53.84,8.95,9.5,76.12,4,96.2,0.27,97.44,16.38,90.33
H29581,H,56.23,11.92,2.75,66.94,5,98.9,0.4,114.96,21.88,87.98
L47348,L,56.74,32.17,36.0,55.56,7,85.6,3.53,153.26,53.77,62.45
L47349,L,58.48,16.54,10.1,57.63,6,95.96,0.59,144.56,30.38,82.63
M15030,M,54.29,10.67,9.2,75.17,5,96.32,0.64,102.2,19.94,87.83
L47351,L,56.53,14.86,7.35,65.67,7,97.06,0.72,130.84,27.55,84.05
M15032,M,49.87,7.52,9.45,92.44,7,96.22,0.77,80.08,14.46,90.28
M15033,M,54.8,10.99,3.6,74.06,5,98.56,0.85,99.22,20.77,87.55
L47354,L,59.04,17.38,9.75,56.61,6,96.1,0.93,142.72,32.33,80.99
L47355,L,58.0,13.84,7.85,62.18,4,96.86,0.99,114.64,26.05,84.22
L47356,L,54.62,11.8,2.95,75.0,6,98.82,1.04,101.76,22.46,86.39
L47357,L,49.3,8.63,2.05,95.08,5,99.18,1.09,82.56,16.86,89.18
L47358,L,57.39,15.99,10.15,63.8,7,95.94,1.15,129.12,30.12,81.63
L47359,L,59.37,16.05,3.25,57.18,6,98.7,1.2,125.68,30.29,82.13
L47360,L,56.94,16.24,8.35,65.63,3,96.66,1.25,129.3,30.69,81.31
H29595,H,51.92,9.97,10.45,86.22,2,95.82,1.31,84.88,19.53,86.58
M15042,M,59.09,16.34,7.7,58.93,2,96.92,1.44,123.04,31.13,80.79
L47363,L,57.1,14.74,3.85,66.88,2,98.46,1.52,111.1,28.34,82.4
L47364,L,54.51,12.37,11.95,77.16,5,95.22,1.57,94.54,24.17,83.57
L47365,L,57.78,14.43,6.05,65.08,7,97.58,1.63,105.32,27.93,82.18
L47366,L,59.95,19.04,8.15,55.53,7,96.74,1.68,138.02,36.26,77.69
L47367,L,58.88,15.98,10.25,60.96,5,95.9,1.73,113.78,30.84,80.09
L47368,L,55.64,13.76,5.35,73.42,5,97.86,1.79,99.32,26.93,82.42
M15049,M,56.67,16.37,5.45,68.76,6,97.82,1.84,117.58,31.68,79.93
L47370,L,57.66,18.24,11.6,64.73,4,95.36,1.92,129.34,35.13,77.44
L47371,L,54.97,14.57,12.7,76.02,5,94.92,1.97,102.52,28.62,80.47
H29606,H,58.93,19.03,3.8,60.39,6,98.48,2.03,131.56,36.69,77.22
H29607,H,55.01,15.13,9.05,76.34,3,96.38,2.16,102.76,29.86,79.84
M15054,M,40.61,24.56,42.3,121.62,6,83.08,5.29,74.96,42.35,64.01
L47375,L,58.52,17.84,11.45,63.73,3,95.42,2.37,114.86,35.0,76.61
H29610,H,58.89,19.66,11.55,61.77,3,95.38,2.43,127.64,38.31,74.83
M15057,M,57.66,17.9,9.8,67.4,7,96.08,2.56,112.34,35.35,76.23
L47378,L,56.86,16.67,13.95,71.06,3,94.42,2.64,101.76,33.24,76.71
L47379,L,59.17,19.86,12.05,61.72,7,95.18,2.69,122.86,39.01,73.9
L47380,L,56.67,16.99,11.15,71.96,3,95.54,2.75,102.18,33.94,76.42
L47381,L,57.23,18.7,9.25,69.4,4,96.3,2.8,113.9,37.08,74.94
M15062,M,56.4,17.48,9.35,73.06,2,96.26,2.85,104.12,34.97,75.87
L47383,L,58.61,18.27,7.5,65.36,5,97.0,2.93,105.6,36.48,75.14
L47384,L,55.02,17.16,8.6,78.47,5,96.56,2.99,100.42,34.55,75.89
M15065,M,60.86,22.37,7.7,56.02,7,96.92,3.04,132.88,43.96,71.17
L47386,L,57.09,18.18,12.85,71.36,4,94.86,3.12,102.78,36.56,74.19
M15067,M,59.89,39.7,41.95,51.2,6,83.22,6.17,149.82,70.6,48.16
L47388,L,57.5,18.94,8.1,70.08,2,96.76,3.25,105.22,38.07,73.65
L47389,L,59.22,20.92,6.2,63.39,3,97.52,3.31,117.54,41.7,71.92
L47390,L,58.61,19.1,15.3,66.6,4,93.88,3.36,102.66,38.52,72.49
L47391,L,57.92,18.72,7.4,69.39,5,97.04,3.41,99.3,37.88,73.49
H29626,H,61.34,23.62,10.5,55.39,5,95.8,3.47,132.68,46.75,68.64
L47393,L,60.88,22.02,12.75,58.29,7,94.9,3.6,117.52,44.05,69.5
M15074,M,57.98,20.24,13.85,69.33,4,94.46,3.65,105.98,40.91,70.85
L47395,L,58.67,21.28,10.0,66.76,7,96.0,3.73,111.56,42.88,70.09
L47396,L,59.44,20.94,9.1,64.48,4,96.36,3.79,106.58,42.34,70.35
L47397,L,57.1,19.42,13.2,73.49,4,94.72,3.84,96.48,39.69,71.16
L47398,L,60.32,21.2,12.3,61.75,5,95.08,3.89,105.14,42.96,69.5
M15079,M,60.57,23.39,11.4,60.0,5,95.44,3.95,121.08,46.94,67.5
L47400,L,60.92,25.26,7.55,58.17,5,96.98,4.03,133.72,50.39,66.0
H29635,H,55.0,18.32,9.65,82.19,5,96.14,4.08,85.14,38.01,71.87
L47402,L,62.76,23.89,8.9,53.26,5,96.44,4.21,116.08,48.18,66.6
L47403,L,58.96,21.4,15.0,67.75,5,94.0,4.27,100.18,43.78,68.08
L47404,L,58.81,20.28,9.1,69.06,5,96.36,4.32,90.28,41.85,69.52
L47405,L,62.1,26.57,17.2,54.82,3,93.12,4.37,134.84,53.18,62.94
L47406,L,62.64,25.58,17.3,53.66,7,93.08,4.43,124.98,51.48,63.68
L47407,L,59.64,22.46,13.4,65.72,4,94.64,4.48,102.98,45.96,66.72
M15088,M,58.39,22.88,17.5,70.01,7,93.0,4.53,106.78,46.76,65.8
L47409,L,59.81,21.89,9.65,65.96,3,96.14,4.61,95.16,45.1,67.26
L47410,L,59.4,22.7,11.75,67.15,7,95.3,4.67,101.0,46.62,66.18
L47411,L,61.82,24.94,8.85,57.93,4,96.46,4.72,114.36,50.69,64.33
L47412,L,61.64,26.22,10.95,58.09,5,95.62,4.77,123.68,53.06,62.83
L47413,L,60.42,23.2,13.05,64.0,5,94.78,4.83,100.04,47.73,65.18
L47414,L,60.98,25.36,17.15,61.22,2,93.14,4.88,115.36,51.67,62.69
M15095,M,58.1,23.22,12.25,72.39,5,95.1,4.93,101.0,47.9,64.96
L47416,L,60.88,24.72,10.4,62.39,3,95.84,5.01,107.3,50.67,63.6
M15097,M,60.11,24.35,15.5,65.42,4,93.8,5.07,104.24,50.09,63.27
L47418,L,62.52,28.02,15.65,55.64,3,93.74,5.15,128.46,56.76,59.76
L47419,L,59.4,23.25,17.75,68.92,3,92.9,5.2,93.42,48.28,63.68
M15100,M,63.42,28.66,16.85,52.62,5,93.26,5.25,129.98,58.05,58.78
L47421,L,57.14,22.08,17.0,77.81,3,93.2,5.33,84.14,46.35,64.46
L47422,L,63.44,45.86,49.1,44.47,5,80.36,8.39,144.56,84.46,36.08
L47423,L,62.13,27.34,13.2,58.43,4,94.72,5.44,117.04,55.93,59.84
M15104,M,62.88,28.76,10.3,55.37,5,95.88,5.49,126.1,58.52,58.72
M15105,M,59.59,24.57,14.45,69.06,2,94.22,5.57,95.34,51.12,61.85
L47426,L,60.29,25.34,17.6,66.58,2,92.96,5.65,98.7,52.6,60.63
L47427,L,62.04,28.5,13.7,59.2,4,94.52,5.71,120.38,58.33,58.05
L47428,L,63.66,46.48,44.8,44.86,7,82.08,8.76,140.84,86.05,34.97
L47429,L,63.09,46.49,43.9,47.0,4,82.44,8.81,140.5,86.14,34.92
L47430,L,52.81,8.18,6.0,79.01,4,97.6,0.0,98.64,14.65,92.07
M15111,M,55.72,10.81,2.1,67.9,6,99.16,0.05,114.52,19.44,89.96
L47432,L,53.57,9.35,6.25,76.32,4,97.5,0.13,104.0,16.93,90.64
L47433,L,57.46,12.61,7.35,61.54,4,97.06,0.19,123.54,22.84,87.47
L47434,L,55.24,10.2,9.45,70.6,4,96.22,0.24,106.08,18.58,89.29
L47435,L,55.66,10.98,9.55,68.96,3,96.18,0.29,110.58,20.05,88.43
L47436,L,58.02,16.79,7.65,58.16,4,96.94,0.35,152.62,30.53,83.27
L47437,L,53.95,8.57,6.75,76.46,7,97.3,0.4,91.3,15.88,90.59
L47438,L,55.94,10.84,9.85,68.68,3,96.06,0.45,105.44,20.0,88.11
M15119,M,56.9,32.5,37.95,54.75,7,84.82,3.51,156.2,54.31,62.04
M15120,M,55.51,14.04,8.1,69.08,4,96.76,0.59,128.64,25.9,85.07
L47441,L,53.68,10.02,10.25,77.69,7,95.9,0.67,97.28,18.82,88.23
M15122,M,52.54,8.86,4.35,82.37,6,98.26,0.72,88.32,16.8,89.73
M15123,M,54.8,10.48,4.5,74.11,2,98.2,0.8,96.34,19.79,88.05
L47444,L,57.76,14.52,5.65,62.24,5,97.74,0.88,122.8,27.14,84.11
L47445,L,56.89,12.08,6.75,66.66,2,97.3,0.93,103.28,22.83,86.04
H29680,H,57.15,13.89,10.85,65.06,6,95.66,0.99,116.2,26.14,83.87
L47447,L,49.82,8.64,9.1,93.38,7,96.36,1.12,81.28,16.9,88.4
H29682,H,52.12,9.72,3.2,85.14,2,98.72,1.17,85.6,18.91,87.88
L47449,L,56.29,13.17,7.45,69.62,2,97.02,1.31,104.48,25.27,84.01
H29684,H,56.41,13.98,8.55,69.01,4,96.58,1.36,109.6,26.79,83.03
M15131,M,57.55,14.68,6.8,65.26,5,97.28,1.49,110.64,28.21,82.23
L47452,L,57.17,14.82,4.95,66.79,4,98.02,1.57,110.48,28.56,82.08
L47453,L,58.08,16.38,7.05,63.11,5,97.18,1.63,120.52,31.43,80.33
L47454,L,54.85,12.16,9.15,76.52,6,96.34,1.68,90.04,23.94,83.75
L47455,L,58.56,18.88,4.25,60.61,3,98.3,1.73,137.42,36.03,78.09
M15136,M,53.54,12.01,12.35,81.5,4,95.06,1.79,88.2,23.8,83.29
H29691,H,57.57,18.28,10.5,64.81,5,95.8,1.87,130.98,35.13,77.65
M15138,M,55.67,13.35,3.75,74.32,3,98.5,2.0,91.2,26.47,82.39
L47459,L,52.87,12.09,3.9,84.9,4,98.44,2.08,83.18,24.31,83.29
M15140,M,58.21,17.33,9.0,64.14,4,96.4,2.13,116.52,33.77,77.95
L47461,L,55.83,15.76,10.15,73.42,6,95.94,2.21,105.52,31.07,79.02
M15142,M,59.32,19.25,6.25,59.88,6,97.5,2.27,127.4,37.39,76.15
L47463,L,58.26,17.79,11.4,64.56,3,95.44,2.35,115.38,34.87,76.73
L47464,L,49.85,12.0,6.5,96.55,7,97.4,2.4,79.42,24.56,82.27
L47465,L,56.94,16.36,4.6,70.22,3,98.16,2.45,103.36,32.44,78.41
L47466,L,56.69,15.82,12.7,71.54,5,94.92,2.51,98.18,31.54,77.95
L47467,L,53.61,15.58,5.8,82.46,2,97.68,2.56,99.3,31.18,78.71
H29702,H,59.78,18.39,7.9,60.06,2,96.84,2.61,112.1,36.28,75.84
L47469,L,59.19,19.92,6.15,61.84,5,97.54,2.75,122.12,39.19,74.3
L47470,L,59.22,19.8,14.25,62.0,4,94.3,2.8,119.96,39.05,73.45
L47471,L,58.77,19.21,13.35,64.04,3,94.66,2.85,114.66,38.06,73.93
L47472,L,60.84,18.77,10.45,57.36,2,95.82,2.91,107.1,37.34,74.47
H29707,H,60.07,20.08,13.55,59.56,3,94.58,2.96,117.44,39.75,72.85
M15154,M,60.51,22.06,5.8,57.57,3,97.68,3.09,129.64,43.46,71.5
M15155,M,55.6,17.2,8.95,77.2,4,96.42,3.17,95.72,34.85,75.33
L47476,L,60.36,21.31,9.1,59.1,6,96.36,3.25,120.3,42.33,71.42
L47477,L,55.79,16.24,9.2,77.53,7,96.32,3.31,84.86,33.32,75.81
H29712,H,49.8,14.76,7.3,99.07,3,97.08,3.36,79.98,30.72,77.19
M15159,M,58.12,19.38,11.55,68.66,6,95.38,3.49,102.54,39.18,72.27
L47480,L,57.41,20.3,11.7,70.95,6,95.32,3.57,109.04,40.92,71.22
L47481,L,55.76,17.66,10.8,78.17,7,95.68,3.63,89.0,36.26,73.54
H29716,H,59.13,19.82,12.9,65.69,7,94.84,3.68,100.44,40.19,71.25
M15163,M,59.76,22.32,8.15,62.79,3,96.74,3.81,116.58,44.84,69.14
L47484,L,56.1,18.56,12.3,77.57,6,95.08,3.89,89.74,38.21,71.88
L47485,L,50.46,16.64,9.4,98.13,4,96.24,3.95,80.98,34.84,73.75
L47486,L,61.5,23.78,9.5,56.81,4,96.2,4.0,121.68,47.7,67.2
M15167,M,58.58,21.31,9.6,68.3,5,96.16,4.05,104.78,43.35,69.26
L47488,L,62.66,24.2,9.75,53.15,4,96.1,4.13,120.5,48.63,66.44
M15169,M,60.62,22.76,16.85,61.07,5,93.26,4.19,110.58,46.12,66.88
H29724,H,59.59,23.25,15.0,64.68,2,94.0,4.27,114.12,47.1,66.42
M15171,M,60.8,24.22,16.25,60.54,2,93.5,4.4,117.26,49.01,65.07
